Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,74.78299713,76.23500061,80.48000336,84.21399689,80.51300049,81.39800262,82.11399841,82.66500092,83.22799683,83.88400269,84.6760025,79.55699921,79.24199677,79.44000244,78.77500153,78.52899933,77.15599823,76.81500244,72.05799866,67.43299866,62.39099884,55.90299988,55.87799835,55.89699936,56.0870018,56.04600143,55.95700073,55.72800064,55.41899872
Angola,48.93000031,48.9980011,49.41600037,49.8730011,49.28499985,48.81900024,48.01800156,47.48899841,47.9070015,47.48300171,46.83300018,45.41400146,44.85400009,44.43099976,46.57899857,48.14899826,49.98300171,52.08499908,53.1230011,55.74399948,58.00099945,57.6609993,57.04199982,56.40599823,55.95600128,55.99700165,55.78300095,55.52899933,55.25400162
Albania,60.54899979,60.37900162,60.24300003,60.03300095,59.85200119,59.76200104,59.45600128,59.36299896,59.31700134,59.15999985,58.95199966,58.68500137,58.38899994,58.0890007,57.7840004,57.47000122,57.16699982,56.90100098,57.22200012,53.08800125,54.36100006,57.05599976,53.14199829,50.4620018,47.79499817,45.17900085,42.54399872,42.28900146,42.03499985
Arab World,46.80590946,47.82972841,45.9524232,46.31487158,44.49934143,43.63520341,42.66476085,40.57937235,38.98683356,41.1007185,38.05185794,36.17998519,38.1303212,39.35499585,38.68962879,37.1224888,37.40798591,36.0780561,35.50036501,34.07400945,33.37683928,31.24530375,32.10017477,32.05162404,30.76823689,30.22933069,29.90005679,29.8629373,29.80737758
United Arab Emirates,0.068000004,0.066,0.064000003,0.061999999,0.059999999,0.059999999,0.059,0.057999998,0.059,0.059,0.071999997,0.086000003,0.098999999,0.109999999,0.120999999,0.131999999,0.141000003,0.151999995,0.151999995,0.153999999,0.153999999,0.150000006,0.145999998,0.142000005,0.136000007,0.133000001,0.129999995,0.128000006,0.125
Argentina,0.135000005,0.32100001,0.296000004,0.239999995,0.363000005,0.222000003,0.256000012,0.230000004,0.234999999,0.236000001,0.296999991,0.472000003,0.973999977,0.966000021,0.718999982,0.486999989,0.419,0.347000003,0.393000007,0.379999995,0.284000009,0.282999992,0.224999994,0.153999999,0.071000002,0.033,0.015,0.015,0.015
Armenia,47.12200165,47.70100021,47.95500183,47.58100128,47.09799957,46.83499908,46.5719986,46.35200119,46.11700058,45.93500137,45.70199966,45.43399811,45.1570015,44.90299988,44.60800171,44.23199844,43.86800003,44.3769989,45.74200058,47.2820015,45.61899948,44.06399918,44.70199966,40.57899857,40.08800125,36.9109993,36.74399948,36.5890007,36.44100189
Australia,4.03000021,3.891000032,3.904999971,3.72300005,3.59800005,3.61500001,3.651000023,3.470999956,3.474999905,3.433000088,3.446000099,3.032999992,2.622999907,2.680999994,2.453999996,2.365999937,2.285000086,2.220000029,2.217000008,2.282999992,1.889000058,1.916000009,1.666000009,1.827000022,1.850000024,1.68599999,1.65199995,1.628999949,1.605999947
Austria,8.467000008,8.024999619,7.826000214,7.992000103,8.19299984,8.585000038,7.732999802,7.234000206,6.958000183,6.379000187,6.282000065,6.080999851,5.778999805,4.862999916,5.284999847,5.284999847,5.617000103,5.232999802,5.201000214,4.993000031,4.65500021,4.241000175,4.183000088,4.566999912,4.209000111,3.928999901,3.680000067,3.628000021,3.58100009
Azerbaijan,49.41999817,49.29499817,49.11600113,48.86999893,48.63399887,48.3730011,48.15000153,47.93500137,47.74399948,46.20199966,42.79299927,39.33399963,41.82099915,38.02899933,37.35400009,43.31000137,41.99100113,40.69100189,44.17200089,44.52700043,43.94100189,43.92300034,43.5379982,42.66199875,42.06100082,42.10599899,42.1780014,41.93500137,41.68500137
