Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,11.80799961,10.25199986,8.633000374,7.046999931,8.107000351,7.906000137,7.778999805,7.731999874,7.697000027,7.643000126,7.396999836,9.263999939,9.107000351,8.951999664,9.147999763,9.170999527,9.869000435,9.840999603,11.38899994,13.03899956,15.07400036,16.95499992,16.51000023,16.36499977,16.09799957,16,15.87199974,15.84399986,15.83899975
Angola,1.904000044,1.902999997,1.904999971,1.907999992,1.881000042,1.866000056,1.860999942,1.883000016,1.853000045,1.837000012,1.83099997,1.792000055,1.777999997,1.779000044,1.674000025,1.56099999,1.463000059,1.371999979,1.279000044,1.199000001,1.118000031,1.126999974,1.126000047,1.121000051,1.118999958,1.118999958,1.116999984,1.113999963,1.111999989
Albania,11.06499958,10.77099991,10.48999977,10.29199982,10.06499958,9.845999718,9.963999748,9.815999985,9.586999893,9.460000038,9.324999809,9.255999565,9.178999901,9.102999687,9.036999702,8.987000465,8.923999786,8.843999863,10.26000023,10.64299965,11.42599964,10.58300018,10.23999977,11.67099953,13.88300037,14.47299957,15.10400009,15.01500034,14.91600037
Arab World,12.68227562,12.85250518,12.37089205,11.95350141,12.17983849,11.92158594,11.83453564,12.04497746,12.4802159,11.3482408,12.180423,12.1994476,11.11376657,10.8352741,10.51709718,10.51307623,10.2747296,10.14275583,9.837582515,9.912059253,9.514716813,9.562600552,9.455914452,9.216313536,9.245718008,9.239380283,9.259614045,9.187184429,9.11341297
United Arab Emirates,13.73900032,13.79100037,13.84799957,13.92099953,13.77499962,13.625,13.60299969,13.60400009,13.67300034,13.65999985,12.28899956,11.06999969,9.840999603,8.723999977,7.874000072,7.135000229,6.546999931,6.118999958,6.394999981,6.504000187,6.436999798,6.335000038,6.231999874,6.164000034,6.116000175,6.092999935,6.074999809,6.063000202,6.012000084
Argentina,19.7670002,18.92300034,16.16600037,14.52200031,15.02499962,12.52000046,11.65499973,10.77000046,10.83100033,10.31900024,10.42300034,9.397000313,11.17300034,10.78800011,10.60400009,10.60400009,10.37100029,10.16600037,9.621999741,9.376999855,9.954000473,9.461999893,8.918000221,8.326000214,8.593999863,8.861000061,9.112999916,8.975000381,8.87100029
Armenia,7.967999935,7.914000034,7.972000122,7.956999779,7.888999939,7.784999847,7.721000195,7.791999817,7.749000072,7.745999813,7.749000072,7.758999825,7.770999908,7.763999939,7.788000107,7.84800005,7.861000061,6.686999798,5.376999855,5.815000057,6.379000187,7.532999992,6.512000084,8.045000076,7.522999763,7.847000122,7.802000046,7.735000134,7.675000191
Australia,12.22200012,12.13199997,12.08699989,12.00599957,11.60499954,11.30799961,11.10700035,10.67000008,10.22700024,10.22900009,9.508999825,9.529999733,9.536000252,9.361000061,9.309000015,9.49600029,9.324000359,9.307999611,8.895999908,8.612999916,8.529999733,8.357000351,8.295000076,8.317000389,7.827000141,8.085000038,7.624000072,7.576000214,7.518000126
Austria,17.56999969,17.44099998,17.20199966,17.19199944,17.51300049,15.57900047,14.60099983,14.22799969,14,14.15999985,13.80099964,12.95800018,13.06900024,13.28999996,12.89799976,13.41100025,12.97700024,12.26099968,11.41600037,11.47000027,12.44900036,12.65499973,13.00399971,12.69400024,12.13899994,11.9829998,11.41399956,11.19499969,11.03499985
Azerbaijan,7.896999836,7.874000072,7.826000214,7.782000065,7.717999935,7.764999866,7.781000137,7.789000034,7.806000233,7.514999866,7.218999863,7.478000164,5.880000114,8.277000427,8.671999931,4.040999889,3.737999916,6.066999912,5.534999847,6.096000195,6.173999786,6.19299984,6.011000156,6.156000137,5.876999855,6.019999981,5.981999874,5.975999832,5.967999935
