Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,13.4090004,13.51299953,10.88799953,8.73900032,11.38000011,10.6960001,10.10599995,9.602999687,9.074999809,8.472999573,7.926000118,11.1789999,11.65100002,11.6079998,12.07699966,12.30000019,12.97500038,13.34399986,16.5529995,19.52799988,22.53499985,27.1420002,27.61100006,27.73800087,27.81500053,27.95400047,28.17000008,28.42700005,28.74099922
Angola,49.16600037,49.09899902,48.67900085,48.21900177,48.83300018,49.31499863,50.11999893,50.62799835,50.24000168,50.68099976,51.33599854,52.79299927,53.36800003,53.78900146,51.74700165,50.28900146,48.55400085,46.54299927,45.59799957,43.05699921,40.88199997,41.21300125,41.83300018,42.47299957,42.92499924,42.88399887,43.09999847,43.35699844,43.63499832
Albania,28.38599968,28.85000038,29.2670002,29.67399979,30.08300018,30.3920002,30.57999992,30.82099915,31.09600067,31.38100052,31.72200012,32.05899811,32.43199921,32.80799866,33.17900085,33.54299927,33.9090004,34.25600052,32.51699829,36.26900101,34.21300125,32.36100006,36.61800003,37.86700058,38.32099915,40.34799957,42.35200119,42.69599915,43.04999924
Arab World,40.5115587,39.31771566,41.67658201,41.7314017,43.32105476,44.44313202,45.50054036,47.37549918,48.53294251,47.55085704,49.76770283,51.62080056,50.75618378,49.80976953,50.79303614,52.36429374,52.31729095,53.77927209,54.66172977,56.01398821,57.10848068,59.19221219,58.44397086,58.73216156,59.9856979,60.53107033,60.84044898,60.95018106,61.07917242
United Arab Emirates,86.19400024,86.14299774,86.08799744,86.01699829,86.16500092,86.31600189,86.33799744,86.33799744,86.26799774,86.28099823,87.63899994,88.84500122,90.05999756,91.16600037,92.0039978,92.73300171,93.31199646,93.72899628,93.45300293,93.34200287,93.41000366,93.51499939,93.6210022,93.69300079,93.7480011,93.77400208,93.79499817,93.80899811,93.86199951
Argentina,80.09700012,80.75499725,83.53700256,85.23799896,84.61199951,87.25900269,88.08899689,89,88.93399811,89.44499969,89.27999878,90.13200378,87.85399628,88.2460022,88.67700195,88.90899658,89.20999908,89.48699951,89.98600006,90.24299622,89.76200104,90.2539978,90.85700226,91.51999664,91.33499908,91.10600281,90.8710022,91.01000214,91.11399841
Armenia,44.90999985,44.38499832,44.07400131,44.46300125,45.01300049,45.38000107,45.70600128,45.85599899,46.13399887,46.31900024,46.54899979,46.80699921,47.0719986,47.33300018,47.60400009,47.92100143,48.27099991,48.93600082,48.88100052,46.90299988,48.0019989,48.40299988,48.7859993,51.3769989,52.38999939,55.24200058,55.45399857,55.67599869,55.88399887
Australia,83.7480011,83.97699738,84.00800323,84.27100372,84.79699707,85.07800293,85.24099731,85.85900116,86.29799652,86.33799744,87.04499817,87.43699646,87.84100342,87.95700073,88.23699951,88.13800049,88.38999939,88.47200012,88.88700104,89.10399628,89.58100128,89.72699738,90.03900146,89.85700226,90.3219986,90.22899628,90.72499847,90.79499817,90.87599945
Austria,73.96199799,74.53299713,74.97200012,74.81600189,74.29399872,75.83599854,77.66600037,78.53800201,79.04199982,79.46199799,79.91699982,80.96099854,81.15200043,81.84600067,81.81700134,81.30400085,81.40699768,82.5059967,83.38300323,83.53700256,82.89700317,83.10500336,82.81300354,82.73899841,83.65200043,84.08799744,84.90599823,85.17700195,85.38400269
Azerbaijan,42.68299866,42.83100128,43.05799866,43.34799957,43.64899826,43.86199951,44.06900024,44.27600098,44.45000076,46.2820015,49.98799896,53.18799973,52.29899979,53.69400024,53.97499847,52.64899826,54.27099991,53.24200058,50.29299927,49.3769989,49.88499832,49.88399887,50.45000076,51.18199921,52.06200027,51.87400055,51.8390007,52.0890007,52.34700012
Burundi,2.811000109,2.799999952,2.744999886,2.714999914,2.595000029,2.390000105,2.381999969,2.546999931,2.552999973,2.582000017,2.582999945,2.573999882,2.645999908,2.469000101,2.661999941,2.743000031,2.851000071,2.859999895,2.871999979,2.924000025,2.993000031,3.042000055,3.046000004,3.167000055,3.066999912,3.016000032,2.97300005,2.937000036,2.907999992
Belgium,81.88700104,82.0490036,83.91400146,83.6269989,84.33699799,84.56199646,84.67299652,85.67299652,86.58799744,87.14900208,87.2539978,86.44100189,87.35399628,87.58200073,87.19799805,87.98699951,87.68599701,88.68900299,89.30200195,89.03600311,89.44300079,90.6760025,90.58999634,90.84600067,90.91100311,91.07499695,90.72299957,90.85500336,90.98400116
Benin,45.98500061,46.0359993,46.08200073,42.49900055,43.30899811,42.79800034,42.9109993,43.09600067,43.14699936,43.56299973,43.59000015,43.4469986,43.79299927,43.98199844,43.83200073,44.10100174,44.98400116,45.89899826,45.95299911,46.14099884,46.61000061,47.18999863,47.79399872,48.19900131,47.79999924,47.98699951,48.27199936,48.59199905,48.93999863
